Ourcontigname,MM.darkorange
contig111962,NA
contig111974,NA
contig111978,NA
contig112007_150291_111307,NA
contig112014,NA
contig112021,NA
contig112053_79856,NA
contig112063_73657_213434,NA
contig112074,NA
contig112078,NA
contig112079_118285,NA
contig112103,NA
contig112116,NA
contig112123_147737,NA
contig112127_173618,NA
contig112144,NA
contig112154_150825_211203,NA
contig112156_25728,NA
contig112176,NA
contig112182,NA
contig112187,NA
contig112195,NA
contig112206,NA
contig112212,NA
contig112223,NA
contig112232_147601,NA
contig112236_17856_203844_179786_147848_214133,NA
contig112244_120296,NA
contig112261_13247,NA
contig112262,NA
contig112263_137966,NA
contig112268_119770,NA
contig112269_97265,NA
contig112272,NA
contig112292,NA
contig112294_16620_20923_21596_72132_128967_103781,NA
contig112295_187171_108041,NA
contig112332,NA
contig112341_108741_217246,NA
contig112347,NA
contig112352,NA
contig112356,NA
contig112370_23972_169963,NA
contig112386,NA
contig112397_175884_600191,NA
contig112398_174634_119302,NA
contig112408,NA
contig112411,NA
contig112413,NA
contig112423,NA
contig112431_113666,NA
contig112458,NA
contig112463,NA
contig112465,NA
contig112466,0.693469134575332
contig112467_156385,NA
contig112496,NA
contig112515_19749,NA
contig112517,NA
contig112519,NA
contig112528,NA
contig112539,NA
contig112546_109502,NA
contig112552,NA
contig112556,NA
contig112559_9352,NA
contig112565,NA
contig112566,NA
contig112568,NA
contig112575,NA
contig112579,NA
contig112587,NA
contig112589_152022,NA
contig112593,NA
contig112604,NA
contig112608_77091_153042_20277,NA
contig112611,NA
contig112616,0.57369087218792
contig112617,NA
contig112619,NA
contig112622,NA
contig112626_149884,NA
contig112637,NA
contig112646,NA
contig112651,NA
contig112653,NA
contig112654_193312,NA
contig112656,NA
contig112682_19944,NA
contig112688_170707_146883,NA
contig112690_156527,NA
contig112694_118674_204990,NA
contig112702,NA
contig112718_123967_18547,NA
contig112723_152111,0.420058957742001
contig112735,NA
contig112737,NA
contig112741,NA
contig112744,NA
contig112748_119130,NA
contig112756,NA
contig112759,NA
contig112776,NA
contig112780,NA
contig112788_176749_176920,NA
contig112795,NA
contig112809_149298_131394_104581_171125,NA
contig11281,NA
contig112813,NA
contig112814,NA
contig112820,NA
contig112827,NA
contig112833,NA
contig112839,NA
contig112848,NA
contig112855_195047,NA
contig112858_210730,NA
contig112861_100291_151214,NA
contig112866,NA
contig112867,NA
contig112868,NA
contig112871_132136,NA
contig112892,NA
contig112898_106823_158681_115338_105717_8141_145866_9036_79485,NA
contig11291,NA
contig112936,NA
contig112939,NA
contig112946,NA
contig112947_203584_211696,NA
contig112955,NA
contig112957_7992,NA
contig112964,NA
contig112968,NA
contig112969_74429,NA
contig11297,NA
contig112971,NA
contig112980,NA
contig112982,NA
contig113007,NA
contig113008,NA
contig113012,NA
contig113018,NA
contig113043,NA
contig113048,NA
contig113066,NA
contig113071,NA
contig113075,NA
contig113080,NA
contig113086,NA
contig113089,NA
contig113094,NA
contig113096,NA
contig113098_114491,NA
contig113105_12728_218606,NA
contig11311,NA
contig113120,NA
contig113122,NA
contig113128,NA
contig113145_185292,NA
contig113151,NA
contig113170,NA
contig113184,NA
contig113194,NA
contig113203_130861,NA
contig113214,NA
contig113258_182525,NA
contig113266,NA
contig113284_97790,NA
contig113291,NA
contig113297,NA
contig113301,NA
contig113303_78392,NA
contig113310,NA
contig113318,NA
contig113334,NA
contig113339,NA
contig113342,NA
contig113343,NA
contig113344_195063,NA
contig113394,NA
contig113401,NA
contig113405,NA
contig113407,NA
contig113414_107098,NA
